Key,Project Key,Branch,Path,Line Number,Message,Status,Author,Creation Date,Update Date,Rule Reference,Comments,Type,Severity,Effort,Tags,Security Category,Vulnerability Probability,Rule Key,Rule Repo,Rule Name,Rule Created At,Rule HTML Description,Rule Markdown Description,Rule Severity,Rule Status,Rule Is Template,Rule Tags,Rule System Tags,Rule Language,Rule Language Name,Rule Params,Rule Type,Rule Remote Function Overloaded,Rule Scope,Rule Is External,Rule Description Sections,Rule Education Principles
AYbAIe7v_dtLGUU1PIS7,csharp-dotnetcore-sonar,main,Program.cs,2,Remove this commented out code.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-29T12:22:50+0000,csharpsquid:S125,[object Object],CODE_SMELL,MAJOR,5,unused,,,csharpsquid:S125,csharpsquid,Sections of code should not be commented out,2023-02-21T15:21:15+0000,<p>Programmers should not comment out code as it bloats programs and reduces readability.</p>\n<p>Unused code should be deleted and can be retrieved from source control history if required.</p>,<p>Programmers should not comment out code as it bloats programs and reduces readability.</p>\n<p>Unused code should be deleted and can be retrieved from source control history if required.</p>,MAJOR,READY,false,,unused,cs,C#,[],CODE_SMELL,false,MAIN,false,"[{""key"":""default"",""content"":""<p>Programmers should not comment out code as it bloats programs and reduces readability.</p>\n<p>Unused code should be deleted and can be retrieved from source control history if required.</p>""}]",[]
AYbAIe7v_dtLGUU1PITB,csharp-dotnetcore-sonar,main,Program.cs,33,Converting null literal or possible null value to non-nullable type.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-29T12:23:56+0000,external_roslyn:CS8600,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8600,external_roslyn,Converting null literal or possible null value to non-nullable type.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PITA,csharp-dotnetcore-sonar,main,Program.cs,26,Dereference of a possibly null reference.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-29T12:23:38+0000,external_roslyn:CS8602,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8602,external_roslyn,Dereference of a possibly null reference.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PIS_,csharp-dotnetcore-sonar,main,Program.cs,20,Possible null reference argument for parameter 's' in 'int int.Parse(string s)'.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-29T12:23:22+0000,external_roslyn:CS8604,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8604,external_roslyn,Possible null reference argument.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PIS-,csharp-dotnetcore-sonar,main,Program.cs,19,Possible null reference argument for parameter 's' in 'int int.Parse(string s)'.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-29T12:23:06+0000,external_roslyn:CS8604,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8604,external_roslyn,Possible null reference argument.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PITD,csharp-dotnetcore-sonar,main,Program.cs,55,Converting null literal or possible null value to non-nullable type.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-28T10:06:28+0000,external_roslyn:CS8600,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8600,external_roslyn,Converting null literal or possible null value to non-nullable type.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PITC,csharp-dotnetcore-sonar,main,Program.cs,34,Dereference of a possibly null reference.,OPEN,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-28T10:06:15+0000,external_roslyn:CS8602,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8602,external_roslyn,Dereference of a possibly null reference.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
AYbAIe7v_dtLGUU1PIS9,csharp-dotnetcore-sonar,main,Program.cs,15,Move 'Solution' into a named namespace.,RESOLVED,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-27T13:44:13+0000,csharpsquid:S3903,[object Object],BUG,MAJOR,5,,,,csharpsquid:S3903,csharpsquid,Types should be defined in named namespaces,2023-02-21T15:21:15+0000,<p>Types are declared in namespaces in order to prevent name collisions and as a way to organize them into the object hierarchy. Types that are\ndefined outside any named namespace are in a global namespace that cannot be referenced in code.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class Foo // Noncompliant\n{\n}\npublic struct Bar // Noncompliant\n{\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\nnamespace SomeSpace\n{\n    public class Foo\n    {\n    }\n    public struct Bar\n    {\n    }\n}\n</pre>,<p>Types are declared in namespaces in order to prevent name collisions and as a way to organize them into the object hierarchy. Types that are\ndefined outside any named namespace are in a global namespace that cannot be referenced in code.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class Foo // Noncompliant\n{\n}\npublic struct Bar // Noncompliant\n{\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\nnamespace SomeSpace\n{\n    public class Foo\n    {\n    }\n    public struct Bar\n    {\n    }\n}\n</pre>,MAJOR,READY,false,,,cs,C#,[],BUG,false,MAIN,false,"[{""key"":""default"",""content"":""<p>Types are declared in namespaces in order to prevent name collisions and as a way to organize them into the object hierarchy. Types that are\ndefined outside any named namespace are in a global namespace that cannot be referenced in code.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class Foo // Noncompliant\n{\n}\n\npublic struct Bar // Noncompliant\n{\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\nnamespace SomeSpace\n{\n    public class Foo\n    {\n    }\n\n    public struct Bar\n    {\n    }\n}\n</pre>""}]",[]
AYbAIe7v_dtLGUU1PIS8,csharp-dotnetcore-sonar,main,Program.cs,15,Add a 'protected' constructor or the 'static' keyword to the class declaration.,RESOLVED,joshua.quek.fullstack@gmail.com,2023-03-08T07:31:28+0000,2023-06-27T13:43:56+0000,csharpsquid:S1118,[object Object],CODE_SMELL,MAJOR,10,design,,,csharpsquid:S1118,csharpsquid,Utility classes should not have public constructors,2023-02-21T15:21:16+0000,"<p>Utility classes, which are collections of <code>static</code> members, are not meant to be instantiated.</p>\n<p>C# adds an implicit public constructor to every class which does not explicitly define at least one constructor. Hence, at least one\n<code>protected</code> constructor should be defined if you wish to subclass this utility class. Or the <code>static</code> keyword should be added to\nthe class declaration to prevent subclassing.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class StringUtils // Noncompliant\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\npublic static class StringUtils\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<p>or</p>\n<pre>\npublic class StringUtils\n{\n  protected StringUtils()\n  {\n  }\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>","<p>Utility classes, which are collections of <code>static</code> members, are not meant to be instantiated.</p>\n<p>C# adds an implicit public constructor to every class which does not explicitly define at least one constructor. Hence, at least one\n<code>protected</code> constructor should be defined if you wish to subclass this utility class. Or the <code>static</code> keyword should be added to\nthe class declaration to prevent subclassing.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class StringUtils // Noncompliant\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\npublic static class StringUtils\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<p>or</p>\n<pre>\npublic class StringUtils\n{\n  protected StringUtils()\n  {\n  }\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>",MAJOR,READY,false,,design,cs,C#,[],CODE_SMELL,false,MAIN,false,"[{""key"":""default"",""content"":""<p>Utility classes, which are collections of <code>static</code> members, are not meant to be instantiated.</p>\n<p>C# adds an implicit public constructor to every class which does not explicitly define at least one constructor. Hence, at least one\n<code>protected</code> constructor should be defined if you wish to subclass this utility class. Or the <code>static</code> keyword should be added to\nthe class declaration to prevent subclassing.</p>\n<h2>Noncompliant Code Example</h2>\n<pre>\npublic class StringUtils // Noncompliant\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<h2>Compliant Solution</h2>\n<pre>\npublic static class StringUtils\n{\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>\n<p>or</p>\n<pre>\npublic class StringUtils\n{\n  protected StringUtils()\n  {\n  }\n  public static string Concatenate(string s1, string s2)\n  {\n    return s1 + s2;\n  }\n}\n</pre>""}]",[]
AYbD8eqR_dtLGUU1PIf5,dotnetcore-azuredevops_dotnetcore-azuredevops_AYbAf9qWAu8T8ZieRlfh,main,Program.cs,55,Converting null literal or possible null value to non-nullable type.,OPEN,,2023-03-09T01:17:16+0000,2023-06-15T02:19:05+0000,external_roslyn:CS8600,[object Object],CODE_SMELL,MAJOR,0,,,,external_roslyn:CS8600,external_roslyn,Converting null literal or possible null value to non-nullable type.,2023-03-08T07:31:34+0000,,,MAJOR,READY,false,,,,,[],CODE_SMELL,false,ALL,true,[],[]
