Key,Rule,Severity,Component,Project,Line,Hash,Text Range,Status,Message,Effort,Debt,Author,Tags,Creation Date,Update Date,Type,Scope,Quick Fix Available,Message Formattings
AYfq8swN2NhXQ4Y5VZBK,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,641,c1848abf6c793805c3d2301cc6b4c019,"{""startLine"":641,""endLine"":641,""startOffset"":0,""endOffset"":71}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBL,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,822,640cb7091969589c4a72499b8389d1dd,"{""startLine"":822,""endLine"":822,""startOffset"":0,""endOffset"":73}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBM,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,858,db5f6b8f917afaf06114feb01a92fc4d,"{""startLine"":858,""endLine"":858,""startOffset"":0,""endOffset"":79}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBN,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,859,89290bd9712481257e43d766b5e857f3,"{""startLine"":859,""endLine"":859,""startOffset"":0,""endOffset"":65}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBO,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,870,1e6a9d5f075628e12dc6d1760e3d220e,"{""startLine"":870,""endLine"":870,""startOffset"":0,""endOffset"":61}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBP,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,880,1da1798f9d6ba017054152ba27e7551b,"{""startLine"":880,""endLine"":880,""startOffset"":0,""endOffset"":63}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBQ,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,1173,8e23582a53829c012b21bb3d1fd6a69b,"{""startLine"":1173,""endLine"":1173,""startOffset"":0,""endOffset"":35}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYfq8swN2NhXQ4Y5VZBR,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dtsx-file-project-local:src/samplefile.sql,dtsx-file-project-local,1182,f344ad86ae79b5d2b1ec8897bf3c0f97,"{""startLine"":1182,""endLine"":1182,""startOffset"":0,""endOffset"":103}",OPEN,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-05-05T08:06:19+0000,2023-05-05T08:06:19+0000,CODE_SMELL,MAIN,false,[]
AYejAmsFDSDrNq9G0If-,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dstx-file-project-local:src/samplefile.sql,dstx-file-project-local,,db5f6b8f917afaf06114feb01a92fc4d,"{""startLine"":858,""endLine"":858,""startOffset"":0,""endOffset"":79}",CLOSED,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-04-21T08:50:42+0000,2023-04-25T01:25:13+0000,CODE_SMELL,MAIN,false,[]
AYejAmsFDSDrNq9G0If8,plsql:LiteralsNonPrintableCharactersCheck,CRITICAL,dstx-file-project-local:src/samplefile.sql,dstx-file-project-local,,c1848abf6c793805c3d2301cc6b4c019,"{""startLine"":641,""endLine"":641,""startOffset"":0,""endOffset"":71}",CLOSED,An illegal character with code point 10 was found in this literal.,10min,10min,,pitfall,2023-04-21T08:50:42+0000,2023-04-25T01:25:13+0000,CODE_SMELL,MAIN,false,[]
